stop_id,shelter,seat,timetable,advertising,other_comments,stop_name,suburb
2763144,Yes,Yes,Yes,No,school bus stop,"Quakers Hill East Public School, Chase Dr",Acacia Gardens
2763141,no,no,no,no,Not a sign to indicate,Chase Dr Opp Quakers Hill East Public School,Acacia Gardens
2763142,no,no,no,no,Not a sign to indicate,Chase Dr At Hydrangea Ct,Acacia Gardens
2763143,no,no,no,no,,Chase Dr After Quakers Hill Pkwy,Acacia Gardens
2763136,no,no,no,no,extremely busy street; dangerous,Quakers Hill Pkwy Before Chase Dr,Acacia Gardens
2763135,yes,yes,no,yes,,Quakers Hill Pkwy After Sunnyholt Rd,Acacia Gardens
276859,no,no,no,no,,Sunnyholt Rd After Wilson Rd,Acacia Gardens
2763140,no,no,no,no,,Wilson Rd After Trevor Toms Dr,Acacia Gardens
2763147,no,no,no,no,,Wilson Rd After Tamarind Dr,Acacia Gardens
2763179,no,no,no,no,,Wilson Rd Before Sciarra Cres,Acacia Gardens
2763145,no,no,no,no,,Wilson Rd After Chase Dr,Acacia Gardens
276366,no,no,no,no,,Wilson Rd At Sciarra Cres,Acacia Gardens
2763180,no,no,no,no,,Wilson Rd Opp Sampson Cres,Acacia Gardens
276367,no,no,no,no,,Wilson Rd At Sampson Cres,Acacia Gardens
276327,no,no,yes,no,small schedule posted,Wilson Rd After Corinne St,Acacia Gardens
2763174,no,no,no,no,alongside 4 lane road,Quakers Hill Pkwy At Pye Rd,Acacia Gardens
276369,no,no,no,no,,Quakers Hill Pkwy Before Pye Rd,Acacia Gardens
2768144,Yes,Yes,Yes,Yes,"There was no available street view data on the street of the bus stop, thus the bus stop was viewed from 33°45'07""S 150°57'06""E.",,Glenwood
2153389,Yes,Yes,Yes,Yes,Norwest Childrens Specialist,,Glenwood
2768145,Yes,Yes,Yes,Yes,Norwest Childrens Specialist,,Glenwood
2768167,No,No,No,No,Norwest Childrens Specialist,,Glenwood
2768146,Yes,Yes,Yes,Yes,Valentine Sports Park,,Glenwood
2768147,Yes,Yes,Yes,Yes,Valentine Sports Park,,Glenwood
2768149,Yes,Yes,Yes,Yes,,,Glenwood
2768148,Yes,Yes,Yes,Yes,Emmanuel Baptist Church,,Glenwood
2768150,Yes,Yes,Yes,Yes,Parklea Markets,,Glenwood
2768151,Yes,Yes,Yes,Yes,Parklea Markets,,Glenwood
2768153,Yes,Yes,Yes,Yes,,,Glenwood
2768152,Yes,Yes,Yes,Yes,,,Glenwood
2768154,Yes,Yes,Yes,Yes,,,Glenwood
2768155,Yes,Yes,Yes,Yes,,,Glenwood
276814,No,No,Yes,No,Gurdwara Sahib Glenwood,,Glenwood
276834,,,,,Gurdwara Sahib Glenwood. Not even sure if this is a bus stop.,,Glenwood
276815,,,,,Holy Cross Primary School. Not even sure if this is a bus stop.,,Glenwood
276816,No,No,Yes,No,,,Glenwood
276833,No,No,Yes,No,,,Glenwood
276832,Yes,Yes,Yes,No,,,Glenwood
276819,Yes,Yes,Yes,No,,,Glenwood
2768110,No,No,Yes,No,,,Glenwood
276874,No,No,Yes,No,,,Glenwood
276877,Yes,Yes,Yes,No,,,Glenwood
276836,Yes,Yes,Yes,No,,,Glenwood
276875,No,No,Yes,No,,,Glenwood
2768164,No,No,Yes,No,,,Glenwood
276835,No,No,Yes,No,,,Glenwood
276820,Yes,Yes,Yes,No,,,Glenwood
2768109,No,No,Yes,No,,,Glenwood
276821,No,No,No,No,,,Glenwood
2768108,No,No,No,No,,,Glenwood
276822,No,No,Yes,No,,,Glenwood
2768107,Yes,Yes,Yes,No,,,Glenwood
276823,No,No,No,No,Parklea Public School. Is this even a bus stop,,Glenwood
2768106,No,No,Yes,No,,,Glenwood
276824,Yes,Yes,Yes,No,,,Glenwood
276825,No,No,Yes,No,,,Glenwood
2768105,No,No,Yes,No,,,Glenwood
2768165,No,No,Yes,No,,,Glenwood
2768104,No,No,Yes,No,,,Glenwood
276826,No,No,Yes,No,,,Glenwood
2768103,No,No,Yes,No,,,Glenwood
2768163,No,No,No,No,Glenwood High School. Is this even a bus stop,,Glenwood
276870,No,No,Yes,No,,,Glenwood
276871,No,No,Yes,No,,,Glenwood
276880,Yes,Yes,Yes,No,,,Glenwood
276872,No,No,Yes,No,,,Glenwood
276879,Yes,Yes,Yes,No,,,Glenwood
276873,No,No,Yes,No,,,Glenwood
276878,No,No,Yes,No,,,Glenwood
276827,Yes,Yes,Yes,No,,,Glenwood
276869,No,Yes,Yes,No,,,Glenwood
276828,No,No,Yes,No,,,Glenwood
276829,No,No,Yes,No,,,Glenwood
276868,No,No,Yes,No,,,Glenwood
276867,Yes,Yes,Yes,No,,,Glenwood
276881,Yes,Yes,Yes,No,,,Glenwood
276830,No,No,No,No,Is this even a bus stop,,Glenwood
276831,No,No,No,No,Is this even a bus stop,,Glenwood
276890,No,No,No,No,Is this even a bus stop,,Glenwood
276866,No,No,Yes,No,,,Glenwood
276882,Yes,Yes,Yes,No,,,Glenwood
276865,No,No,Yes,No,,,Glenwood
276883,No,No,Yes,No,,,Glenwood
